county_id,county_name,year,production_t,harvested_area_ha,active_yield_t_per_ha,label_method,reconciliation_status,source_vintage,source_snapshot_id,provisional,split,usable_for_modelling
baringo,Baringo,2012,71866.62,39753.0,1.80782884311,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
bomet,Bomet,2012,73277.82,32697.0,2.24111753372,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
bungoma,Bungoma,2012,262381.05,96209.0,2.72719859888,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
busia,Busia,2012,72400.48,44793.0,1.61631371018,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
elgeyo_marakwet,Elgeyo Marakwet,2012,87150.06,32610.0,2.6728015946,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
embu,Embu,2012,107027.82,42925.0,2.49336808387,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
garissa,Garissa,2012,149.49,90.0,1.6609999999999998,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
homa_bay,Homa Bay,2012,131342.89,63927.0,2.05449997654,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
isiolo,Isiolo,2012,627.85,608.0,1.03264802632,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
kajiado,Kajiado,2012,25523.4,19603.0,1.3020109167,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
